ref_no,pmid,doi,year,topic,section,subtopic,n_citations,ms_pages,citation,url,claim
200,10335782,,1999,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",,1,150,"Overgaard M, Jensen MB, Overgaard J, et al. Postoperative radiotherapy in high-risk postmenopausal breast-cancer patients given adjuvant tamoxifen: Danish Breast Cancer Cooperative Group DBCG 82c randomised trial. Lancet 1999;353:1641-1648.",http://www.ncbi.nlm.nih.gov/pubmed/10335782,Adjuvant Radiation Therapy After Mastectomy Post-Mastectomy RT for Node-Positive Disease Randomized clinical trials have shown that a DFS and OS advantage is conferred by the irradiation of chest wall and regional lymph nodes in patients with positive ALNs after mastectomy and ALND.
201,15657341,,2005,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",,1,150,"Ragaz J, Olivotto IA, Spinelli JJ, et al. Locoregional radiation therapy in patients with high-risk breast cancer receiving adjuvant chemotherapy: 20-year results of the British Columbia randomized trial. J Natl Cancer Inst 2005;97:116-126.",http://www.ncbi.nlm.nih.gov/pubmed/15657341,Adjuvant Radiation Therapy After Mastectomy Post-Mastectomy RT for Node-Positive Disease Randomized clinical trials have shown that a DFS and OS advantage is conferred by the irradiation of chest wall and regional lymph nodes in patients with positive ALNs after mastectomy and ALND.
202,11230499,,2001,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",,1,150,"Recht A, Edge SB, Solin LJ, et al. Postmastectomy radiotherapy: clinical practice guidelines of the American Society of Clinical Oncology. J Clin Oncol 2001;19:1539-1569.",http://www.ncbi.nlm.nih.gov/pubmed/11230499,Adjuvant Radiation Therapy After Mastectomy Post-Mastectomy RT for Node-Positive Disease Randomized clinical trials have shown that a DFS and OS advantage is conferred by the irradiation of chest wall and regional lymph nodes in patients with positive ALNs after mastectomy and ALND.
203,24656685,,2014,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",,1,150,"Early Breast Cancer Trialists' Collaborative G, McGale P, Taylor C, et al. Effect of radiotherapy after mastectomy and axillary surgery on 10- year recurrence and 20-year breast cancer mortality: meta-analysis of individual patient data for 8135 women in 22 randomised trials. Lancet 2014;383:2127-2135.",http://www.ncbi.nlm.nih.gov/pubmed/24656685,The results of EBCTCG meta-analyses show that RT after mastectomy and axillary node dissection reduced both recurrence and breast cancer mortality in the patients with 1 to 3 positive lymph nodes even when systemic therapy was administered.
204,16618947,,2006,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",Post-Mastectomy RT for Node-Negative Disease:,1,150,"Nielsen HM, Overgaard M, Grau C, et al. Study of failure pattern among high-risk breast cancer patients with or without postmastectomy radiotherapy in addition to adjuvant systemic therapy: long-term results from the Danish Breast Cancer Cooperative Group DBCG 82 b and c randomized studies. J Clin Oncol 2006;24:2268-2275.",http://www.ncbi.nlm.nih.gov/pubmed/16618947,Features in node-negative tumors that predict a high rate of local recurrence include primary tumors >5 cm or positive pathologic margins.
205,9531373,,1998,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",Post-Mastectomy RT for Node-Negative Disease:,1,151,"Abdel-Wahab M, Wolfson A, Raub W, et al. The importance of postoperative radiation therapy in multimodality management of locally advanced breast cancer: a phase II trial of neoadjuvant MVAC, surgery, and radiation. Int J Radiat Oncol Biol Phys 1998;40:875-880.",https://www.ncbi.nlm.nih.gov/pubmed/9531373,Data from numerous studies in patients with stage III disease suggest that postoperative RT improves local control even for patients who have a pathologic complete response (pCR) to neoadjuvant chemotherapy.
206,15570071,,2004,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",Post-Mastectomy RT for Node-Negative Disease:,1,151,"Huang EH, Tucker SL, Strom EA, et al. Postmastectomy radiation improves local-regional control and survival for selected patients with locally advanced breast cancer treated with neoadjuvant chemotherapy and mastectomy. J Clin Oncol 2004;22:4691-4699.",https://www.ncbi.nlm.nih.gov/pubmed/15570071,Data from numerous studies in patients with stage III disease suggest that postoperative RT improves local control even for patients who have a pathologic complete response (pCR) to neoadjuvant chemotherapy.
207,17418973,,2007,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",Post-Mastectomy RT for Node-Negative Disease:,1,151,"McGuire SE, Gonzalez-Angulo AM, Huang EH, et al. Postmastectomy radiation improves the outcome of patients with locally advanced breast cancer who achieve a pathologic complete response to neoadjuvant chemotherapy. Int J Radiat Oncol Biol Phys 2007;68:1004- 1009.",https://www.ncbi.nlm.nih.gov/pubmed/17418973,Data from numerous studies in patients with stage III disease suggest that postoperative RT improves local control even for patients who have a pathologic complete response (pCR) to neoadjuvant chemotherapy.
208,26511263,,2016,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",Post-Mastectomy RT for Node-Negative Disease:,1,151,"Swisher SK, Vila J, Tucker SL, et al. Locoregional control according to breast cancer subtype and response to neoadjuvant chemotherapy in breast cancer patients undergoing breast-conserving therapy. Ann Surg Oncol 2016;23:749-756.",https://www.ncbi.nlm.nih.gov/pubmed/26511263,Data from numerous studies in patients with stage III disease suggest that postoperative RT improves local control even for patients who have a pathologic complete response (pCR) to neoadjuvant chemotherapy.
209,15774786,,2005,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",RT After Preoperative Therapy and Mastectomy:,2,"151,152","Bellon JR, Come SE, Gelman RS, et al. Sequencing of chemotherapy and radiation therapy in early-stage breast cancer: updated results of a prospective randomized trial. J Clin Oncol 2005;23:1934-1940.",http://www.ncbi.nlm.nih.gov/pubmed/15774786,"Sequencing of RT and Systemic Therapy If chemotherapy and radiation are indicated after surgery, adjuvant radiation is typically delivered after the completion of chemotherapy."
210,8614420,,1996,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",RT After Preoperative Therapy and Mastectomy:,2,151,"Recht A, Come SE, Henderson IC, et al. The sequencing of chemotherapy and radiation therapy after conservative surgery for early- stage breast cancer. N Engl J Med 1996;334:1356-1361.",http://www.ncbi.nlm.nih.gov/pubmed/8614420,"Sequencing of RT and Systemic Therapy If chemotherapy and radiation are indicated after surgery, adjuvant radiation is typically delivered after the completion of chemotherapy."
211,15545669,,2005,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",RT After Preoperative Therapy and Mastectomy:,1,152,"Pierce LJ, Hutchins LF, Green SR, et al. Sequencing of tamoxifen and radiotherapy after breast-conserving surgery in early-stage breast cancer. J Clin Oncol 2005;23:24-29.",https://www.ncbi.nlm.nih.gov/pubmed/15545669,"Data from multiple studies of patients treated with endocrine therapy either before, during, or after RT suggest no difference in outcomes or toxicity."
212,15545665,,2005,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",RT After Preoperative Therapy and Mastectomy:,1,152,"Harris EE, Christensen VJ, Hwang WT, et al. Impact of concurrent versus sequential tamoxifen with radiation therapy in early-stage breast cancer patients undergoing breast conservation treatment. J Clin Oncol 2005;23:11-16.",https://www.ncbi.nlm.nih.gov/pubmed/15545665,"Data from multiple studies of patients treated with endocrine therapy either before, during, or after RT suggest no difference in outcomes or toxicity."
213,15545666,,2005,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",RT After Preoperative Therapy and Mastectomy:,1,152,"Ahn PH, Vu HT, Lannin D, et al. Sequence of radiotherapy with tamoxifen in conservatively managed breast cancer does not affect local relapse rates. J Clin Oncol 2005;23:17-23.",https://www.ncbi.nlm.nih.gov/pubmed/15545666,"Data from multiple studies of patients treated with endocrine therapy either before, during, or after RT suggest no difference in outcomes or toxicity."
214,,,2016,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",RT After Preoperative Therapy and Mastectomy:,1,152,"Li YF, Chang L, Li WH, et al. Radiotherapy concurrent versus sequential with endocrine therapy in breast cancer: A meta-analysis. Breast 2016;27:93-98.",,"Data from multiple studies of patients treated with endocrine therapy either before, during, or after RT suggest no difference in outcomes or toxicity."
215,28564564,,2017,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",RT After Preoperative Therapy and Mastectomy:,1,152,"Masuda N, Lee SJ, Ohtani S, et al. Adjuvant capecitabine for breast cancer after preoperative chemotherapy. N Engl J Med 2017;376:2147- 2159.",https://www.ncbi.nlm.nih.gov/pubmed/28564564,When adjuvant capecitabine
216,34081848,,2021,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",,1,152,"Tutt ANJ, Garber JE, Kaufman B, et al. Adjuvant olaparib for patients with BRCA1- or BRCA2-mutated breast cancer. N Engl J Med 2021.",https://www.ncbi.nlm.nih.gov/pubmed/34081848,"When adjuvant olaparib is used, the Panel recommends that olaparib be given after completion of RT. In the OlympiA trial,"
217,28751231,,2017,radiation oncology,"Invasive Breast Cancer > Locoregional Treatment of cT1-3, cN0 or cN+, M0 Disease > Adjuvant Radiation Therapy After Mastectomy",,1,152,"Mignot F, Ajgal Z, Xu H, et al. Concurrent administration of anti- HER2 therapy and radiotherapy: Systematic review. Radiother Oncol 2017;124:190-199.",https://www.ncbi.nlm.nih.gov/pubmed/28751231,Data from clinical trials in the adjuvant setting do not suggest an increased complication rate with the concurrent administration of HER2-targeted therapies with adjuvant RT.
218,23169521,,2012,surgery / reconstruction,Breast Reconstruction,,1,153,"McLaughlin JM, Anderson RT, Ferketich AK, et al. Effect on survival of longer intervals between confirmed diagnosis and treatment initiation among low-income women with breast cancer. J Clin Oncol 2012;30:4493-4500.",http://www.ncbi.nlm.nih.gov/pubmed/23169521,"This may increase the risk of overall and cancer-related death, especially in those with late-stage disease."
219,21228744,,2011,surgery / reconstruction,Breast Reconstruction,,1,153,"Liu AS, Kao HK, Reish RG, et al. Postoperative complications in prosthesis-based breast reconstruction using acellular dermal matrix. Plast Reconstr Surg 2011;127:1755-1762.",http://www.ncbi.nlm.nih.gov/pubmed/21228744,Smoking and obesity increase the risk of complications for all types of breast reconstruction whether with implant or flap.
220,18520873,,2008,surgery / reconstruction,Breast Reconstruction,,1,153,"McCarthy CM, Mehrara BJ, Riedel E, et al. Predicting complications following expander/implant breast reconstruction: an outcomes analysis based on preoperative clinical risk. Plast Reconstr Surg 2008;121:1886- 1892.",http://www.ncbi.nlm.nih.gov/pubmed/18520873,Smoking and obesity increase the risk of complications for all types of breast reconstruction whether with implant or flap.
221,20424909,,2010,surgery / reconstruction,Breast Reconstruction,,1,153,"Cowen D, Gross E, Rouannet P, et al. Immediate post-mastectomy breast reconstruction followed by radiotherapy: risk factors for complications. Breast Cancer Res Treat 2010;121:627-634.",http://www.ncbi.nlm.nih.gov/pubmed/20424909,Smoking and obesity increase the risk of complications for all types of breast reconstruction whether with implant or flap.
222,17230076,,2007,surgery / reconstruction,Breast Reconstruction,,1,153,"Woerdeman LA, Hage JJ, Hofland MM, Rutgers EJ. A prospective assessment of surgical risk factors in 400 cases of skin-sparing mastectomy and immediate breast reconstruction with implants to establish selection criteria. Plast Reconstr Surg 2007;119:455-463.",http://www.ncbi.nlm.nih.gov/pubmed/17230076,Smoking and obesity increase the risk of complications for all types of breast reconstruction whether with implant or flap.
223,20517083,,2010,surgery / reconstruction,Breast Reconstruction,,1,153,"Antony AK, McCarthy CM, Cordeiro PG, et al. Acellular human dermis implantation in 153 immediate two-stage tissue expander breast reconstructions: determining the incidence and significant predictors of complications. Plast Reconstr Surg 2010;125:1606-1614.",http://www.ncbi.nlm.nih.gov/pubmed/20517083,Smoking and obesity increase the risk of complications for all types of breast reconstruction whether with implant or flap.
224,15845976,,2005,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Mastectomy,,1,153,"Ahmed S, Snelling A, Bains M, Whitworth IH. Breast reconstruction. BMJ 2005;330:943-948.",http://www.ncbi.nlm.nih.gov/pubmed/15845976,"There are several different types of breast reconstruction that include the use of implants, autogenous tissues, or both."
225,15777171,,2005,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Mastectomy,,1,153,"Edlich RF, Winters KL, Faulkner BC, et al. Advances in breast reconstruction after mastectomy. J Long Term Eff Med Implants 2005;15:197-207.",http://www.ncbi.nlm.nih.gov/pubmed/15777171,"There are several different types of breast reconstruction that include the use of implants, autogenous tissues, or both."
226,15943736,,2005,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Mastectomy,,1,153,Pennington DG. Breast reconstruction after mastectomy: current state of the art. ANZ J Surg 2005;75:454-458.,http://www.ncbi.nlm.nih.gov/pubmed/15943736,"There are several different types of breast reconstruction that include the use of implants, autogenous tissues, or both."
227,22783484,,2012,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Mastectomy,,1,153,Chang DW. Breast Reconstruction with Microvascular MS-TRAM and DIEP Flaps. Arch Plast Surg 2012;39:3-10.,http://www.ncbi.nlm.nih.gov/pubmed/22783484,"Autogenous tissue methods of reconstruction use various combinations of fat, muscle, skin, and vasculature from donor sites (ie, abdomen, buttock, back) that may be brought to the chest wall with their original blood supply (pedicle flap) or as free flaps with microvascular anastomoses to supply blo"
228,19644254,,2009,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Mastectomy,,1,154,"Kronowitz SJ, Robb GL. Radiation therapy and breast reconstruction: a critical review of the literature. Plast Reconstr Surg 2009;124:395-408.",http://www.ncbi.nlm.nih.gov/pubmed/19644254,"Furthermore, post- mastectomy irradiation may have a negative impact on breast cosmesis when autologous tissue is used in immediate breast reconstruction, and may interfere with the targeted delivery of radiation when immediate reconstruction is performed using either autologous tissue or breast imp"
229,11420508,,2001,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Mastectomy,,1,154,"Tran NV, Chang DW, Gupta A, et al. Comparison of immediate and delayed free TRAM flap breast reconstruction in patients receiving postmastectomy radiation therapy. Plast Reconstr Surg 2001;108:78-82.",http://www.ncbi.nlm.nih.gov/pubmed/11420508,"Furthermore, post- mastectomy irradiation may have a negative impact on breast cosmesis when autologous tissue is used in immediate breast reconstruction, and may interfere with the targeted delivery of radiation when immediate reconstruction is performed using either autologous tissue or breast imp"
230,15009038,,2004,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Mastectomy,,1,154,"Mehta VK, Goffinet D. Postmastectomy radiation therapy after TRAM flap breast reconstruction. Breast J 2004;10:118-122.",http://www.ncbi.nlm.nih.gov/pubmed/15009038,"Some studies, however, have not found a significant compromise in reconstruction cosmesis after RT."
231,20853034,,2010,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Mastectomy,,1,154,"Berry T, Brooks S, Sydow N, et al. Complication rates of radiation on tissue expander and autologous tissue breast reconstruction. Ann Surg Oncol 2010;17 Suppl 3:202-210.",http://www.ncbi.nlm.nih.gov/pubmed/20853034,"In a previously radiated patient, the use of tissue expanders/implants is relatively contraindicated."
232,19952635,,2009,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Mastectomy,,1,154,"Francis SH, Ruberg RL, Stevenson KB, et al. Independent risk factors for infection in tissue expander breast reconstruction. Plast Reconstr Surg 2009;124:1790-1796.",http://www.ncbi.nlm.nih.gov/pubmed/19952635,"Tissue expansion of irradiated skin can result in a significantly increased risk of capsular contracture, malposition, poor cosmesis, implant exposure, and failed reconstruction."
233,22094736,,2011,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Mastectomy,,1,154,"Colwell AS, Damjanovic B, Zahedi B, et al. Retrospective review of 331 consecutive immediate single-stage implant reconstructions with acellular dermal matrix: indications, complications, trends, and costs. Plast Reconstr Surg 2011;128:1170-1178.",http://www.ncbi.nlm.nih.gov/pubmed/22094736,"Tissue expansion of irradiated skin can result in a significantly increased risk of capsular contracture, malposition, poor cosmesis, implant exposure, and failed reconstruction."
234,19496781,,2009,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,1,154,"Garcia-Etienne CA, Cody Iii HS, Disa JJ, et al. Nipple-sparing mastectomy: initial experience at the Memorial Sloan-Kettering Cancer Center and a comprehensive review of literature. Breast J 2009;15:440- 449.",http://www.ncbi.nlm.nih.gov/pubmed/19496781,"Possible advantages of this procedure include improvements in breast cosmesis, body image, and nipple sensation following mastectomy, although the impact of this procedure on these QOL issues has not been well-studied."
235,19152026,,2009,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,2,154,"Petit JY, Veronesi U, Orecchia R, et al. Nipple sparing mastectomy with nipple areola intraoperative radiotherapy: one thousand and one cases of a five years experience at the European institute of oncology of Milan (EIO). Breast Cancer Res Treat 2009;117:333-338.",http://www.ncbi.nlm.nih.gov/pubmed/19152026,"Possible advantages of this procedure include improvements in breast cosmesis, body image, and nipple sensation following mastectomy, although the impact of this procedure on these QOL issues has not been well-studied."
236,19387167,,2009,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,1,154,"Yueh JH, Houlihan MJ, Slavin SA, et al. Nipple-sparing mastectomy: evaluation of patient satisfaction, aesthetic results, and sensation. Ann Plast Surg 2009;62:586-590.",http://www.ncbi.nlm.nih.gov/pubmed/19387167,"Possible advantages of this procedure include improvements in breast cosmesis, body image, and nipple sensation following mastectomy, although the impact of this procedure on these QOL issues has not been well-studied."
237,18456492,,2008,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,1,154,"Chung AP, Sacchini V. Nipple-sparing mastectomy: Where are we now? Surg Oncol 2008;17:261-266.",http://www.ncbi.nlm.nih.gov/pubmed/18456492,"There are limited data from surgical series, with short follow-up, that suggest that performance of NAC-sparing mastectomy in selected patients is associated with low rates of occult involvement of the NAC with breast cancer and local disease recurrence."
238,19247035,,2009,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,1,154,"Gerber B, Krause A, Dieterich M, et al. The oncological safety of skin sparing mastectomy with conservation of the nipple-areola complex and autologous reconstruction: an extended follow-up study. Ann Surg 2009;249:461-468.",http://www.ncbi.nlm.nih.gov/pubmed/19247035,"There are limited data from surgical series, with short follow-up, that suggest that performance of NAC-sparing mastectomy in selected patients is associated with low rates of occult involvement of the NAC with breast cancer and local disease recurrence."
239,23629079,,2013,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,1,155,"Mallon P, Feron JG, Couturaud B, et al. The role of nipple-sparing mastectomy in breast cancer: a comprehensive review of the literature. Plast Reconstr Surg 2013;131:969-984.",http://www.ncbi.nlm.nih.gov/pubmed/23629079,"Retrospective data support the use of NAC-sparing procedures for patients with breast cancer with low rates of nipple involvement and low rates of local recurrence due to early-stage, biologically favorable (ie, Nottingham grade 1 or 2, node-negative, HER2-negative, no LVI) invasive cancers and/or D"
240,23486127,,2013,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,1,155,"Piper M, Peled AW, Foster RD, et al. Total skin-sparing mastectomy: A aystematic review of oncologic outcomes and postoperative complications. Ann Plast Surg 2013.",http://www.ncbi.nlm.nih.gov/pubmed/23486127,"Retrospective data support the use of NAC-sparing procedures for patients with breast cancer with low rates of nipple involvement and low rates of local recurrence due to early-stage, biologically favorable (ie, Nottingham grade 1 or 2, node-negative, HER2-negative, no LVI) invasive cancers and/or D"
241,10597677,,1999,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,1,155,"Toth BA, Forley BG, Calabria R. Retrospective study of the skin- sparing mastectomy in breast reconstruction. Plast Reconstr Surg 1999;104:77-84.",http://www.ncbi.nlm.nih.gov/pubmed/10597677,"Advantages of a skin-sparing mastectomy procedure include an improved cosmetic outcome resulting in a reduction in the size of the mastectomy scar and a more natural breast shape, especially when autologous tissue is used in reconstruction,"
242,14998566,,2003,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,1,155,"Carlson GW, Styblo TM, Lyles RH, et al. The use of skin sparing mastectomy in the treatment of breast cancer: The Emory experience. Surg Oncol 2003;12:265-269.",http://www.ncbi.nlm.nih.gov/pubmed/14998566,"However, strong selection biases almost certainly exist in the identification of patients appropriate for skin-sparing procedures."
243,15651068,,2005,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,1,155,"Downes KJ, Glatt BS, Kanchwala SK, et al. Skin-sparing mastectomy and immediate reconstruction is an acceptable treatment option for patients with high-risk breast carcinoma. Cancer 2005;103:906-913.",http://www.ncbi.nlm.nih.gov/pubmed/15651068,"However, strong selection biases almost certainly exist in the identification of patients appropriate for skin-sparing procedures."
244,12052757,,2002,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,1,155,"Foster RD, Esserman LJ, Anthony JP, et al. Skin-sparing mastectomy and immediate breast reconstruction: a prospective cohort study for the treatment of advanced stages of breast carcinoma. Ann Surg Oncol 2002;9:462-466.",http://www.ncbi.nlm.nih.gov/pubmed/12052757,"However, strong selection biases almost certainly exist in the identification of patients appropriate for skin-sparing procedures."
245,12035037,,2002,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,1,155,"Medina-Franco H, Vasconez LO, Fix RJ, et al. Factors associated with local recurrence after skin-sparing mastectomy and immediate breast reconstruction for invasive breast cancer. Ann Surg 2002;235:814-819.",http://www.ncbi.nlm.nih.gov/pubmed/12035037,"However, strong selection biases almost certainly exist in the identification of patients appropriate for skin-sparing procedures."
246,9831111,,1998,surgery / reconstruction,Breast Reconstruction > Skin-Sparing Mastectomy,,1,155,"Newman LA, Kuerer HM, Hunt KK, et al. Presentation, treatment, and outcome of local recurrence afterskin-sparing mastectomy and immediate breast reconstruction. Ann Surg Oncol 1998;5:620-626.",http://www.ncbi.nlm.nih.gov/pubmed/9831111,"However, strong selection biases almost certainly exist in the identification of patients appropriate for skin-sparing procedures."
247,20140531,,2010,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Lumpectomy,,1,155,"Clough KB, Kaufman GJ, Nos C, et al. Improving breast cancer surgery: a classification and quadrant per quadrant atlas for oncoplastic surgery. Ann Surg Oncol 2010;17:1375-1391.",http://www.ncbi.nlm.nih.gov/pubmed/20140531,Oncoplastic techniques for breast conservation can extend breast-conserving surgical options in situations where the resection by itself would likely yield an unacceptable cosmetic outcome.
248,15737831,,2005,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Lumpectomy,,2,155,"Anderson BO, Masetti R, Silverstein MJ. Oncoplastic approaches to partial mastectomy: an overview of volume-displacement techniques. Lancet Oncol 2005;6:145-157.",http://www.ncbi.nlm.nih.gov/pubmed/15737831,The evolving field of oncoplastic surgery includes the use of “volume displacement” techniques performed in conjunction with a large partial mastectomy.
249,17632339,,2007,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Lumpectomy,,1,155,"Huemer GM, Schrenk P, Moser F, et al. Oncoplastic techniques allow breast-conserving treatment in centrally located breast cancers. Plast Reconstr Surg 2007;120:390-398.",http://www.ncbi.nlm.nih.gov/pubmed/17632339,Volume displacement techniques are generally performed during the same operative setting as the breast-conserving lumpectomy by the same surgeon who is performing the cancer resection.
250,15889210,,2005,surgery / reconstruction,Breast Reconstruction > Breast Reconstruction After Lumpectomy,,1,155,"Kaur N, Petit J-Y, Rietjens M, et al. Comparative study of surgical margins in oncoplastic surgery and quadrantectomy in breast cancer. Ann Surg Oncol 2005;12:539-545.",http://www.ncbi.nlm.nih.gov/pubmed/15889210,"Advantages of oncoplastic volume displacement techniques are that they permit the removal of larger regions of breast tissue, thereby achieving wider surgical margins around the cancer, and at the same time better preserve the natural shape and appearance of the breast than do standard breast resect"
251,15687361,,2005,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Preoperative Systemic Therapy,,1,157,"Mauri D, Pavlidis N, Ioannidis JP. Neoadjuvant versus adjuvant systemic treatment in breast cancer: a meta-analysis. J Natl Cancer Inst 2005;97:188-194.",http://www.ncbi.nlm.nih.gov/pubmed/15687361,Randomized clinical trials have found no significant differences in long-term outcomes when systemic chemotherapy is given before or after surgery.
252,18258986,,2008,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Preoperative Systemic Therapy,,2,157,"Rastogi P, Anderson SJ, Bear HD, et al. Preoperative chemotherapy: updates of National Surgical Adjuvant Breast and Bowel Project Protocols B-18 and B-27. J Clin Oncol 2008;26:778-785.",http://www.ncbi.nlm.nih.gov/pubmed/18258986,Randomized clinical trials have found no significant differences in long-term outcomes when systemic chemotherapy is given before or after surgery.
253,18258991,,2008,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Preoperative Systemic Therapy,,1,157,"Gralow JR, Burstein HJ, Wood W, et al. Preoperative therapy in invasive breast cancer: pathologic assessment and systemic therapy issues in operable disease. J Clin Oncol 2008;26:814-819.",http://www.ncbi.nlm.nih.gov/pubmed/18258991,Preoperative systemic therapy can convert inoperable tumors to operable and also downstage a significant number of patients with operable breast cancer to allow for more limited breast conservation procedures.
254,25868410,,2015,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Preoperative Systemic Therapy,,1,157,"Killelea BK, Yang VQ, Mougalian S, et al. Neoadjuvant chemotherapy for breast cancer increases the rate of breast conservation: results from the National Cancer Database. J Am Coll Surg 2015;220:1063-1069.",http://www.ncbi.nlm.nih.gov/pubmed/25868410,Results from large clinical trials and retrospective reviews indicate that breast conservation rates are improved with preoperative systemic therapy.
255,18250347,,2008,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Preoperative Systemic Therapy,,1,157,"Liedtke C, Mazouni C, Hess KR, et al. Response to neoadjuvant therapy and long-term survival in patients with triple-negative breast cancer. J Clin Oncol 2008;26:1275-1281.",https://www.ncbi.nlm.nih.gov/pubmed/18250347,"The correlation between pathologic response and long-term outcomes in patients with early-stage breast cancer is strongest for patients with triple-negative breast cancer, less so for HER2-positive disease, and least for hormone-positive disease."
256,24529560,,2014,"systemic therapy, early stage",Systemic Therapies (Preoperative and Adjuvant) > Preoperative Systemic Therapy,,2,"157,173","Cortazar P, Zhang L, Untch M, et al. Pathological complete response and long-term clinical benefit in breast cancer: the CTNeoBC pooled analysis. Lancet 2014;384:164-172.",http://www.ncbi.nlm.nih.gov/pubmed/24529560,"The correlation between pathologic response and long-term outcomes in patients with early-stage breast cancer is strongest for patients with triple-negative breast cancer, less so for HER2-positive disease, and least for hormone-positive disease."
